"stateid","state","level","control","counted_pct","awards_per_state_value","awards_per_natl_value","exp_award_state_value","exp_award_natl_value","state_appr_value"
"13","Georgia","2-year","Private not-for-profit","92.5","23.4","25.0","65082","42217","306.08"
"13","Georgia","2-year","Private for-profit","64.2","21.5","26.3","28165","19798","306.08"
"15","Hawaii","4-year","Public","40.2","21.0","20.5","93680","68617","375.22"
"15","Hawaii","4-year","Private not-for-profit","34.2","22.4","22.6","62450","95725","375.22"
"15","Hawaii","4-year","Private for-profit","100.0","21.8","19.0","53367","42645","375.22"
"15","Hawaii","2-year","Public","30.2","16.3","14.2","66717","42759","375.22"
"15","Hawaii","2-year","Private not-for-profit","","","25.0","","42217","375.22"
"15","Hawaii","2-year","Private for-profit","72.1","31.0","26.3","14299","19798","375.22"
"16","Idaho","4-year","Public","41.1","18.7","20.5","61772","68617","221.54"
"16","Idaho","4-year","Private not-for-profit","88.1","24.1","22.6","35464","95725","221.54"
"16","Idaho","4-year","Private for-profit","88.2","25.8","19.0","50864","42645","221.54"
"16","Idaho","2-year","Public","57.1","17.7","14.2","53141","42759","221.54"
"16","Idaho","2-year","Private not-for-profit","","","25.0","","42217","221.54"
"16","Idaho","2-year","Private for-profit","","54.0","26.3","16648","19798","221.54"
"17","Illinois","4-year","Public","60.9","24.0","20.5","79109","68617","249.18"
"17","Illinois","4-year","Private not-for-profit","65.2","24.3","22.6","87153","95725","249.18"
"17","Illinois","4-year","Private for-profit","63.4","25.6","19.0","36148","42645","249.18"
"17","Illinois","2-year","Public","27.4","12.6","14.2","36072","42759","249.18"
"17","Illinois","2-year","Private not-for-profit","76.7","29.9","25.0","38150","42217","249.18"
"17","Illinois","2-year","Private for-profit","45.7","28.0","26.3","23610","19798","249.18"
"18","Indiana","4-year","Public","65.4","19.3","20.5","76810","68617","241.08"
"18","Indiana","4-year","Private not-for-profit","81.8","23.9","22.6","75562","95725","241.08"
"18","Indiana","4-year","Private for-profit","75.2","22.5","19.0","44431","42645","241.08"
"18","Indiana","2-year","Public","41.4","13.6","14.2","40244","42759","241.08"
"18","Indiana","2-year","Private not-for-profit","68.9","22.9","25.0","68899","42217","241.08"
"18","Indiana","2-year","Private for-profit","59.2","33.6","26.3","20277","19798","241.08"
"19","Iowa","4-year","Public","68.3","21.0","20.5","81210","68617","248.74"
"19","Iowa","4-year","Private not-for-profit","67.3","24.1","22.6","63313","95725","248.74"
"19","Iowa","4-year","Private for-profit","36.5","8.6","19.0","50319","42645","248.74"
"19","Iowa","2-year","Public","42.6","19.8","14.2","39966","42759","248.74"
"19","Iowa","2-year","Private not-for-profit","1.3","38.9","25.0","57057","42217","248.74"
"19","Iowa","2-year","Private for-profit","100.0","29.2","26.3","8656","19798","248.74"
"20","Kansas","4-year","Public","62.4","21.3","20.5","64887","68617","278.12"
"20","Kansas","4-year","Private not-for-profit","48.6","25.0","22.6","46729","95725","278.12"
"20","Kansas","4-year","Private for-profit","25.6","14.8","19.0","63338","42645","278.12"
"20","Kansas","2-year","Public","40.6","17.4","14.2","37137","42759","278.12"
"20","Kansas","2-year","Private not-for-profit","90.9","20.2","25.0","55514","42217","278.12"
"20","Kansas","2-year","Private for-profit","78.4","30.3","26.3","28807","19798","278.12"
"21","Kentucky","4-year","Public","70.2","18.8","20.5","75415","68617","294.31"
"21","Kentucky","4-year","Private not-for-profit","70.2","20.4","22.6","63285","95725","294.31"
"21","Kentucky","4-year","Private for-profit","57.4","28.1","19.0","38971","42645","294.31"
"21","Kentucky","2-year","Public","38.9","17.5","14.2","18661","42759","294.31"
"21","Kentucky","2-year","Private not-for-profit","","","25.0","","42217","294.31"
"21","Kentucky","2-year","Private for-profit","73.5","29.8","26.3","27170","19798","294.31"
"22","Louisiana","4-year","Public","79.2","17.0","20.5","62758","68617","348.09"
"22","Louisiana","4-year","Private not-for-profit","63.9","20.0","22.6","97928","95725","348.09"
"22","Louisiana","4-year","Private for-profit","86.8","22.0","19.0","43447","42645","348.09"
"22","Louisiana","2-year","Public","46.1","16.4","14.2","14306","42759","348.09"
"22","Louisiana","2-year","Private not-for-profit","","","25.0","","42217","348.09"
"22","Louisiana","2-year","Private for-profit","63.9","22.0","26.3","21062","19798","348.09"
"23","Maine","4-year","Public","59.5","20.0","20.5","74271","68617","208.45"
"23","Maine","4-year","Private not-for-profit","77.7","21.9","22.6","100562","95725","208.45"
"23","Maine","4-year","Private for-profit","","","19.0","","42645","208.45"
