CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12/30/1991,2346901,HERCULES BEAUTY ACADEMY,HERCULES CA,1500 SYCAMORE PLACE,HERCULES,CA,94547,
12/30/1991,2499701,CAREER DEVELOPMENT INSTITUTE,CAREER DEVELOPMENT INSTITUTE - PRATTVILLE SQUARE SHOPPING CENTER,139 MEMORIAL DRIVE,PRATTVILLE,AL,36067,
12/30/1991,2499805,CAREER DEVELOPMENT INSTITUTE,CAREER DEVELOPMENT INSTITUTE,975 SOUTH MEMORIAL DRIVE,PRATTVILLE,AL,36067,
12/30/1991,2556400,WESTLAND COLLEGE,WESTLAND COLLEGE,300 SOUTH HOBART BOULEVARD #200,LOS ANGELES,CA,90020,
12/30/1991,2612500,DELTA CAREER COLLEGE LITTLE ROCK,DELTA CAREER COLLEGE LITTLE ROCK,6909 GEYER SPRINGS,LITTLE ROCK,AR,72209,
12/30/1992,2499809,CAREER DEVELOPMENT INSTITUTE,CAREER DEVELOPMENT INSTITUTE (CDI),22 CLOVER LEAF PLAZA,TIGHLMAN'S CORNER,AL,0,
12/30/1992,2565700,CAREERCOM COLLEGE OF BUSINESS,CAREERCOM COLLEGE OF BUSINESS,5337 TRUXTUN AVENUE,BAKERSFIELD,CA,93309,
12/30/1993,892500,CLASSIC BEAUTY COLLEGES,CLASSIC BEAUTY COLLEGES,3871 E THOMAS ROAD,PHOENIX,AZ,85018,
12/30/1994,2584101,SCS BUSINESS & TECHNICAL INSTITUTE,BRANCH CAMPUS,714 MARKET ST,PHILADELPHIA,PA,19106,
12/30/1995,2522000,MOLER BARBER COLLEGE,MOLER BARBER COLLEGE,517 SOUTHWEST 4TH AVENUE,PORTLAND,OR,97204,
12/30/1997,1096800,ALADDIN BEAUTY COLLEGE #12,ALADDIN BEAUTY COLLEGE #12,607 GRAND,CHICKASHA,OK,73018-5813,
12/30/1997,1229900,ALADDIN BEAUTY COLLEGE #19,ALADDIN BEAUTY COLLEGE #19,900 SOUTH MIDKIFF,MIDLAND,TX,79701-6730,
12/30/1999,143601,CAPITOL TECHNOLOGY UNIVERSITY,CAPITOL COLLEGE - FALLS CHURCH,3 SKYLINE PL. SUITE 103,FALLS CHURCH,VA,22041-3203,
12/30/2001,3445400,EXPERT SOLUTIONS TECHNICAL COLLEGE,EXPERT SOLUTIONS TECHNICAL COLLEGE,1200 SOUTH SHERMAN SUITE 100,RICHARDSON,TX,75081-6540,
12/30/2002,2270200,INTERNATIONAL AVIATION & TRAVEL ACADEMY,INTERNATIONAL AVIATION AND TRAVEL ACADEMY,4846 SOUTH COLLINS,ARLINGTON,TX,76018-1110,
12/30/2005,2523100,EMPIRE BEAUTY SCHOOL,EMPIRE BEAUTY SCHOOL,141 HIGH ST.,POTTSTOWN,PA,19464-6309,
12/30/2005,3688300,NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER,NORTHWEST ARKANSAS AVIATION TECHNOLOGIES CENTER,4248 SOUTH SCHOOL AVENUE,FAYETTEVILLE,AR,72701-8008,
12/30/2008,175928,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE - EMGE SCHOOL,7401 WESTCHESTER DRIVE,BELLEVILLE,IL,62223-0000,
12/30/2008,1063341,HOUSTON COMMUNITY COLLEGE,HOUSTON COMMUNITY COLLEGE - SOUTHWEST COLLEGE - MISSOURI CITY CENTER,MISSOURI CITY CENTER 1681 CARTWRIGHT,MISSOURI CITY,TX,77459-4016,
12/30/2009,467323,BAKER COLLEGE,BAKER COLLEGE - SARNIA,1457 LONDON ROAD,SARNIA,,,CANADA
12/30/2009,3034203,WASHINGTON COUNTY CAREER CENTER ADULT EDUCATION,WASHINGTON COUNTY CAREER CENTER ADULT EDUCATION - GUERNSEY COUNTY,1300 CLARK STREET SUITE 8,CAMBRIDGE,OH,43725-8875,
12/30/2010,3034202,WASHINGTON COUNTY CAREER CENTER ADULT EDUCATION,WASHINGTON COUNTY CAREER CENTER AD.ED.- BLACK WALNUT COMMUNITY CTR.,47084 BLACKWALNUT PARKWAY SUITE 102,WOODSFIELD,OH,43793-0793,
12/30/2010,20238081,SAINT MARY'S UNIVERSITY OF MINNESOTA,SAINT MARY'S UNIVERSITY OF MINNESOTA - WAYZATA CENTRAL MIDDLE SCHOOL,305 VICKSBURG LANE NORTH,PLYMOUTH,MN,55447-3941,
12/30/2011,2183601,CAPRI INSTITUTE OF HAIR DESIGN,CAPRI INSTITUTE OF HAIR DESIGN - ROXBURY,ROXBURY MALL ROUTE 10E AND 45 SUNSET STRIP,SUCCASUNNA,NJ,07876-1311,
12/30/2012,299209,UNIVERSITY OF MARY,UNIVERSITY OF MARY -CASPER,125 COLLEGE DRIVE,CASPER,WY,82601-4612,
12/30/2012,2192103,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS -,1797 KING AVENUE,KINGS MILLS,OH,45034-1721,
12/30/2012,2192104,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS -,8801 CHEVIOT ROAD,CINCINNATI,OH,45251-5907,
12/30/2012,3504347,NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE) -,UNITED STATES COAST GUARD 753 N. 70TH ST.,SEATTLE,WA,98103-5124,
12/30/2012,3504376,NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE) -,HILL AIR FORCE BASE 7290 WEINER STREET,HILL AFB,UT,84056-5003,
12/30/2013,3112104,DEWEY UNIVERSITY,DEWEY UNIVERSITY-YABUCOA,CARR# 182 KM 0.2 CATALINA MORALES STREET,YABUCOA,PR,00767-0767,
12/30/2014,121809,LOMA LINDA UNIVERSITY,LOMA LINDA UNIVERSITY - FRESNO CITY COLLEGE,1101 E. UNIVERSITY AVENUE,FRESNO,CA,93741-0000,
12/30/2014,2189002,MID-EAST CAREER AND TECHNOLOGY CENTERS - ADULT EDUCATION,ADULT CENTER FOR EDUCATION - MID-EAST CAREER AND TECHNOLOGY CENTERS,920 MOXAHALA AVENUE,ZANESVILLE,OH,43701-5533,
12/30/2014,3504326,NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE) -,UNITED STATES COAST GUARD 2710 NORTH HARBOR DR,SAN DIEGO,CA,92101-1028,
12/30/2014,3504368,NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE) -,LOECHLER BUILDING 2121 5TH AVENUE SUITE #205,SAN DIEGO,CA,92101-2139,
12/30/2014,3504369,NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE),NATIONAL GRADUATE SCHOOL OF QUALITY MANAGEMENT (THE) -,NAVAL BASE SAN DIEGO 3975 NORMAN SCOTT ROAD,SAN DIEGO,CA,92136-0000,
12/30/2017,910400,TONI&GUY HAIRDRESSING ACADEMY,TONI&GUY HAIRDRESSING ACADEMY,8206 PHILIPS HIGHWAY SUITE 33,JACKSONVILLE,FL,32256-3810,
